Object_Name,X,Y,Z
Curve.001,1.0387,0.0,1.737
Curve.001,1.038,0.0,1.7381
Curve.001,1.0374,0.0,1.7392
Curve.001,1.037,0.0,1.7404
Curve.001,1.0367,0.0,1.7417
Curve.002,1.1381,0.0,1.7299
Curve.002,1.1381,0.0,1.7312
Curve.002,1.1384,0.0,1.7325
Curve.002,1.1388,0.0,1.7337
Curve.002,1.1394,0.0,1.7349
Curve.002,1.1401,0.0,1.7359
Curve.002,1.1409,0.0,1.7369
Curve.002,1.1419,0.0,1.7377
Curve.002,1.1429,0.0,1.7384
Curve.002,1.1441,0.0,1.739
Curve.002,1.1453,0.0,1.7394
Curve.002,1.1466,0.0,1.7397
Curve.002,1.1479,0.0,1.7398
Curve.002,1.1493,0.0,1.7397
Curve.002,1.1506,0.0,1.7394
Curve.002,1.1518,0.0,1.739
Curve.002,1.1529,0.0,1.7384
Curve.002,1.154,0.0,1.7377
Curve.002,1.1549,0.0,1.7369
Curve.002,1.1557,0.0,1.7359
Curve.002,1.1565,0.0,1.7349
Curve.002,1.157,0.0,1.7337
Curve.002,1.1575,0.0,1.7325
Curve.002,1.1577,0.0,1.7312
Curve.002,1.1578,0.0,1.7299
Curve.002,1.1577,0.0,1.7286
Curve.002,1.1575,0.0,1.7273
Curve.002,1.157,0.0,1.7261
Curve.002,1.1565,0.0,1.7249
Curve.002,1.1557,0.0,1.7239
Curve.002,1.1549,0.0,1.7229
Curve.002,1.154,0.0,1.7221
Curve.002,1.1529,0.0,1.7214
Curve.002,1.1518,0.0,1.7208
Curve.002,1.1506,0.0,1.7204
Curve.002,1.1493,0.0,1.7201
Curve.002,1.1479,0.0,1.72
Curve.002,1.1466,0.0,1.7201
Curve.002,1.1453,0.0,1.7204
Curve.002,1.1441,0.0,1.7208
Curve.002,1.1429,0.0,1.7214
Curve.002,1.1419,0.0,1.7221
Curve.002,1.1409,0.0,1.7229
Curve.002,1.1401,0.0,1.7239
Curve.002,1.1394,0.0,1.7249
Curve.002,1.1388,0.0,1.7261
Curve.002,1.1384,0.0,1.7273
Curve.002,1.1381,0.0,1.7286
Curve.003,1.2711,0.0,1.5508
Curve.003,1.2712,0.0,1.5522
Curve.003,1.2714,0.0,1.5535
Curve.003,1.2718,0.0,1.5547
Curve.003,1.2724,0.0,1.5558
Curve.003,1.2731,0.0,1.5569
Curve.003,1.274,0.0,1.5578
Curve.003,1.2749,0.0,1.5586
Curve.003,1.276,0.0,1.5594
Curve.003,1.2771,0.0,1.5599
Curve.003,1.2783,0.0,1.5604
Curve.003,1.2796,0.0,1.5606
Curve.003,1.2809,0.0,1.5607
Curve.003,1.2823,0.0,1.5606
Curve.003,1.2836,0.0,1.5604
Curve.003,1.2848,0.0,1.5599
Curve.003,1.2859,0.0,1.5594
Curve.003,1.287,0.0,1.5586
Curve.003,1.2879,0.0,1.5578
Curve.003,1.2888,0.0,1.5569
Curve.003,1.2895,0.0,1.5558
Curve.003,1.29,0.0,1.5547
Curve.003,1.2905,0.0,1.5535
Curve.003,1.2907,0.0,1.5522
Curve.003,1.2908,0.0,1.5508
Curve.003,1.2907,0.0,1.5495
Curve.003,1.2905,0.0,1.5482
Curve.003,1.29,0.0,1.547
Curve.003,1.2895,0.0,1.5458
Curve.003,1.2888,0.0,1.5448
Curve.003,1.2879,0.0,1.5438
Curve.003,1.287,0.0,1.543
Curve.003,1.2859,0.0,1.5423
Curve.003,1.2848,0.0,1.5417
Curve.003,1.2836,0.0,1.5413
Curve.003,1.2823,0.0,1.541
Curve.003,1.2809,0.0,1.541
Curve.003,1.2796,0.0,1.541
Curve.003,1.2783,0.0,1.5413
Curve.003,1.2771,0.0,1.5417
Curve.003,1.276,0.0,1.5423
Curve.003,1.2749,0.0,1.543
Curve.003,1.274,0.0,1.5438
Curve.003,1.2731,0.0,1.5448
Curve.003,1.2724,0.0,1.5458
Curve.003,1.2718,0.0,1.547
Curve.003,1.2714,0.0,1.5482
Curve.003,1.2712,0.0,1.5495
Curve.004,0.5415,0.0,0.6292
Curve.004,0.5416,0.0,0.6305
Curve.004,0.5418,0.0,0.6318
Curve.004,0.5422,0.0,0.633
Curve.004,0.5428,0.0,0.6341
Curve.004,0.5435,0.0,0.6352
Curve.004,0.5444,0.0,0.6361
Curve.004,0.5453,0.0,0.637
Curve.004,0.5464,0.0,0.6377
Curve.004,0.5475,0.0,0.6383
Curve.004,0.5487,0.0,0.6387
Curve.004,0.55,0.0,0.6389
Curve.004,0.5513,0.0,0.639
Curve.004,0.5527,0.0,0.6389
Curve.004,0.554,0.0,0.6387
Curve.004,0.5552,0.0,0.6383
Curve.004,0.5563,0.0,0.6377
Curve.004,0.5574,0.0,0.637
Curve.004,0.5583,0.0,0.6361
Curve.004,0.5592,0.0,0.6352
Curve.004,0.5599,0.0,0.6341
Curve.004,0.5604,0.0,0.633
Curve.004,0.5609,0.0,0.6318
Curve.004,0.5611,0.0,0.6305
Curve.004,0.5612,0.0,0.6292
Curve.004,0.5611,0.0,0.6278
Curve.004,0.5609,0.0,0.6265
Curve.004,0.5604,0.0,0.6253
Curve.004,0.5599,0.0,0.6242
Curve.004,0.5592,0.0,0.6231
Curve.004,0.5583,0.0,0.6222
Curve.004,0.5574,0.0,0.6213
Curve.004,0.5563,0.0,0.6206
Curve.004,0.5552,0.0,0.6201
Curve.004,0.554,0.0,0.6196
Curve.004,0.5527,0.0,0.6194
Curve.004,0.5513,0.0,0.6193
Curve.004,0.55,0.0,0.6194
Curve.004,0.5487,0.0,0.6196
Curve.004,0.5475,0.0,0.6201
Curve.004,0.5464,0.0,0.6206
Curve.004,0.5453,0.0,0.6213
Curve.004,0.5444,0.0,0.6222
Curve.004,0.5435,0.0,0.6231
Curve.004,0.5428,0.0,0.6242
Curve.004,0.5422,0.0,0.6253
Curve.004,0.5418,0.0,0.6265
