x,y,z,pen,layer
1.00234,1.67701,0,1,0
1.00228,1.67606,0,1,0
1.00210,1.67515,0,1,0
1.00183,1.67428,0,1,0
1.00145,1.67346,0,1,0
1.00098,1.67269,0,1,0
1.00043,1.67199,0,1,0
0.99980,1.67136,0,1,0
0.99909,1.67081,0,1,0
0.99833,1.67034,0,1,0
0.99751,1.66996,0,1,0
0.99664,1.66968,0,1,0
0.99572,1.66951,0,1,0
0.99478,1.66945,0,1,0
0.99383,1.66951,0,1,0
0.99292,1.66968,0,1,0
0.99205,1.66996,0,1,0
0.99122,1.67034,0,1,0
0.99046,1.67081,0,1,0
0.98976,1.67136,0,1,0
0.98913,1.67199,0,1,0
0.98857,1.67269,0,1,0
0.98810,1.67346,0,1,0
0.98773,1.67428,0,1,0
0.98745,1.67515,0,1,0
0.98728,1.67606,0,1,0
0.98722,1.67701,0,1,0
0.96485,1.69181,0,0,0
0.96491,1.69276,0,1,0
0.96508,1.69367,0,1,0
0.96536,1.69454,0,1,0
0.96574,1.69536,0,1,0
0.96621,1.69613,0,1,0
0.96676,1.69683,0,1,0
0.96739,1.69746,0,1,0
0.96810,1.69801,0,1,0
0.96886,1.69848,0,1,0
0.96968,1.69886,0,1,0
0.97055,1.69914,0,1,0
0.97147,1.69931,0,1,0
0.97241,1.69937,0,1,0
0.97336,1.69931,0,1,0
0.97427,1.69914,0,1,0
0.97514,1.69886,0,1,0
0.97597,1.69848,0,1,0
0.97673,1.69801,0,1,0
0.97743,1.69746,0,1,0
0.97806,1.69683,0,1,0
0.97862,1.69613,0,1,0
0.97909,1.69536,0,1,0
0.97946,1.69454,0,1,0
0.97974,1.69367,0,1,0
0.97991,1.69276,0,1,0
0.97997,1.69181,0,1,0
0.97991,1.69086,0,1,0
0.97974,1.68995,0,1,0
0.97946,1.68908,0,1,0
0.97909,1.68826,0,1,0
0.97862,1.68749,0,1,0
0.97806,1.68679,0,1,0
0.97743,1.68616,0,1,0
0.97673,1.68561,0,1,0
0.97597,1.68514,0,1,0
0.97514,1.68476,0,1,0
0.97427,1.68448,0,1,0
0.97336,1.68431,0,1,0
0.97241,1.68425,0,1,0
0.97147,1.68431,0,1,0
0.97055,1.68448,0,1,0
0.96968,1.68476,0,1,0
0.96886,1.68514,0,1,0
0.96810,1.68561,0,1,0
0.96739,1.68616,0,1,0
0.96676,1.68679,0,1,0
0.96621,1.68749,0,1,0
0.96574,1.68826,0,1,0
0.96536,1.68908,0,1,0
0.96508,1.68995,0,1,0
0.96491,1.69086,0,1,0
0.96485,1.69181,0,1,0
0.94467,1.70661,0,0,0
0.94473,1.70756,0,1,0
0.94490,1.70847,0,1,0
0.94518,1.70934,0,1,0
0.94555,1.71016,0,1,0
0.94602,1.71093,0,1,0
0.94657,1.71163,0,1,0
0.94721,1.71226,0,1,0
0.94791,1.71281,0,1,0
0.94867,1.71328,0,1,0
0.94949,1.71366,0,1,0
0.95036,1.71394,0,1,0
0.95128,1.71411,0,1,0
0.95223,1.71417,0,1,0
0.95317,1.71411,0,1,0
0.95409,1.71394,0,1,0
0.95496,1.71366,0,1,0
0.95578,1.71328,0,1,0
0.95654,1.71281,0,1,0
0.95724,1.71226,0,1,0
0.95788,1.71163,0,1,0
0.95843,1.71093,0,1,0
0.95890,1.71016,0,1,0
0.95928,1.70934,0,1,0
0.95955,1.70847,0,1,0
0.95973,1.70756,0,1,0
0.95978,1.70661,0,1,0
0.95973,1.70566,0,1,0
0.95955,1.70475,0,1,0
0.95928,1.70388,0,1,0
0.95890,1.70306,0,1,0
0.95843,1.70229,0,1,0
0.95788,1.70159,0,1,0
0.95724,1.70096,0,1,0
0.95654,1.70041,0,1,0
0.95578,1.69994,0,1,0
0.95496,1.69956,0,1,0
0.95409,1.69928,0,1,0
0.95317,1.69911,0,1,0
0.95223,1.69905,0,1,0
0.95128,1.69911,0,1,0
0.95036,1.69928,0,1,0
0.94949,1.69956,0,1,0
0.94867,1.69994,0,1,0
0.94791,1.70041,0,1,0
0.94721,1.70096,0,1,0
0.94657,1.70159,0,1,0
0.94602,1.70229,0,1,0
0.94555,1.70306,0,1,0
0.94518,1.70388,0,1,0
0.94490,1.70475,0,1,0
0.94473,1.70566,0,1,0
0.94467,1.70661,0,1,0
0.81360,1.48677,0,0,0
0.81366,1.48772,0,1,0
0.81384,1.48863,0,1,0
0.81411,1.48950,0,1,0
0.81449,1.49032,0,1,0
0.81496,1.49109,0,1,0
0.81551,1.49179,0,1,0
0.81614,1.49242,0,1,0
0.81685,1.49297,0,1,0
0.81761,1.49344,0,1,0
0.81843,1.49382,0,1,0
0.81930,1.49410,0,1,0
0.82022,1.49427,0,1,0
0.82116,1.49433,0,1,0
0.82211,1.49427,0,1,0
0.82302,1.49410,0,1,0
0.82389,1.49382,0,1,0
0.82472,1.49344,0,1,0
0.82548,1.49297,0,1,0
0.82618,1.49242,0,1,0
0.82681,1.49179,0,1,0
0.82737,1.49109,0,1,0
0.82784,1.49032,0,1,0
0.82821,1.48950,0,1,0
0.82849,1.48863,0,1,0
0.82866,1.48772,0,1,0
0.82872,1.48677,0,1,0
0.82866,1.48582,0,1,0
0.82849,1.48491,0,1,0
0.82821,1.48404,0,1,0
0.82784,1.48322,0,1,0
0.82737,1.48245,0,1,0
0.82681,1.48175,0,1,0
0.82618,1.48112,0,1,0
0.82548,1.48057,0,1,0
0.82472,1.48010,0,1,0
0.82389,1.47972,0,1,0
0.82302,1.47944,0,1,0
0.82211,1.47927,0,1,0
0.82116,1.47921,0,1,0
0.82022,1.47927,0,1,0
0.81930,1.47944,0,1,0
0.81843,1.47972,0,1,0
0.81761,1.48010,0,1,0
0.81685,1.48057,0,1,0
0.81614,1.48112,0,1,0
0.81551,1.48175,0,1,0
0.81496,1.48245,0,1,0
0.81449,1.48322,0,1,0
0.81411,1.48404,0,1,0
